movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,title_year,num_voted_users,plot_keywords,num_user_for_reviews,budget,genres
Avatar ,723,178,0,1000,936,855,760505847,2009,886204,avatar|future|marine|native|paraplegic,3054,237000000,Action|Adventure|Fantasy|Sci-Fi
Pirates of the Caribbean: At World's End ,302,169,563,40000,5000,1000,309404152,2007,471220,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,300000000,Action|Adventure|Fantasy
Spectre ,602,148,0,11000,393,161,200074175,2015,275868,bomb|espionage|sequel|spy|terrorist,994,245000000,Action|Adventure|Thriller
The Dark Knight Rises ,813,164,22000,27000,23000,23000,448130642,2012,1144337,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,250000000,Action|Thriller
Star Wars: Episode VII - The Force Awakens             ,,,131,131,12,,,,8,,,,Documentary
John Carter ,462,132,475,640,632,530,73058679,2012,212204,alien|american civil war|male nipple|mars|princess,738,263700000,Action|Adventure|Sci-Fi
Spider-Man 3 ,392,156,0,24000,11000,4000,336530303,2007,383056,sandman|spider man|symbiote|venom|villain,1902,258000000,Action|Adventure|Romance
Tangled ,324,100,15,799,553,284,200807262,2010,294810,17th century|based on fairy tale|disney|flower|tower,387,260000000,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Avengers: Age of Ultron ,635,141,0,26000,21000,19000,458991599,2015,462669,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,250000000,Action|Adventure|Sci-Fi
Harry Potter and the Half-Blood Prince ,375,153,282,25000,11000,10000,301956980,2009,321795,blood|book|love|potion|professor,973,250000000,Adventure|Family|Fantasy|Mystery
Batman v Superman: Dawn of Justice ,673,183,0,15000,4000,2000,330249062,2016,371639,based on comic book|batman|sequel to a reboot|superhero|superman,3018,250000000,Action|Adventure|Sci-Fi
Superman Returns ,434,169,0,18000,10000,903,200069408,2006,240396,crystal|epic|lex luthor|lois lane|return to earth,2367,209000000,Action|Adventure|Sci-Fi
Quantum of Solace ,403,106,395,451,412,393,168368427,2008,330784,action hero|attempted rape|bond girl|official james bond series|revenge,1243,200000000,Action|Adventure
Pirates of the Caribbean: Dead Man's Chest ,313,151,563,40000,5000,1000,423032628,2006,522040,box office hit|giant squid|heart|liar's dice|monster,1832,225000000,Action|Adventure|Fantasy
The Lone Ranger ,450,150,563,40000,2000,1000,89289910,2013,181792,horse|outlaw|texas|texas ranger|train,711,215000000,Action|Adventure|Western
Man of Steel ,733,143,0,15000,3000,748,291021565,2013,548573,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536,225000000,Action|Adventure|Fantasy|Sci-Fi
The Chronicles of Narnia: Prince Caspian ,258,150,80,22000,216,201,141614023,2008,149922,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438,225000000,Action|Adventure|Family|Fantasy
The Avengers ,703,173,0,26000,21000,19000,623279547,2012,995415,alien invasion|assassin|battle|iron man|soldier,1722,220000000,Action|Adventure|Sci-Fi
Pirates of the Caribbean: On Stranger Tides ,448,136,252,40000,11000,1000,241063875,2011,370704,blackbeard|captain|pirate|revenge|soldier,484,250000000,Action|Adventure|Fantasy
Men in Black 3 ,451,106,188,10000,816,718,179020854,2012,268154,alien|criminal|m.i.b.|maximum security prison|prison,341,225000000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
The Hobbit: The Battle of the Five Armies ,422,164,0,5000,972,773,255108370,2014,354228,army|elf|hobbit|middle earth|orc,802,250000000,Adventure|Fantasy
The Amazing Spider-Man ,599,153,464,15000,10000,963,262030663,2012,451803,lizard|outcast|spider|spider man|teenager,1225,230000000,Action|Adventure|Fantasy
Robin Hood ,343,156,0,891,882,738,105219735,2010,211765,1190s|archer|england|king of england|robin hood,546,200000000,Action|Adventure|Drama|History
The Hobbit: The Desolation of Smaug ,509,186,0,5000,972,773,258355354,2013,483540,dwarf|elf|lake town|mountain|sword and sorcery,951,225000000,Adventure|Fantasy
The Golden Compass ,251,113,129,16000,6000,1000,70083519,2007,149019,children|epic|friend|girl|quest,666,180000000,Adventure|Family|Fantasy
King Kong ,446,201,0,6000,919,84,218051260,2005,316018,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,207000000,Action|Adventure|Drama|Romance
Titanic ,315,194,0,29000,14000,794,658672302,1997,793059,artist|love|ship|titanic|wet,2528,200000000,Drama|Romance
Captain America: Civil War ,516,147,94,21000,19000,11000,407197282,2016,272670,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022,250000000,Action|Adventure|Sci-Fi
Battleship ,377,131,532,14000,10000,627,65173160,2012,202382,box office flop|hawaii|naval|oahu hawaii|ship,751,209000000,Action|Adventure|Sci-Fi|Thriller
Jurassic World ,644,124,365,3000,2000,1000,652177271,2015,418214,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290,150000000,Action|Adventure|Sci-Fi|Thriller
Skyfall ,750,143,0,883,563,393,304360277,2012,522030,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,200000000,Action|Adventure|Thriller
Spider-Man 2 ,300,135,0,24000,11000,4000,373377893,2004,411164,death|doctor|scientist|super villain|tentacle,1303,200000000,Action|Adventure|Fantasy|Romance
Iron Man 3 ,608,195,1000,21000,4000,3000,408992272,2013,557489,armor|explosion|human bomb|missile attack|terrorist,1187,200000000,Action|Adventure|Sci-Fi
Alice in Wonderland ,451,108,13000,40000,25000,11000,334185206,2010,306320,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,200000000,Adventure|Family|Fantasy
X-Men: The Last Stand ,334,104,420,20000,808,560,234360014,2006,383427,battle|mutant|outrage|walking through a wall|x men,1912,210000000,Action|Adventure|Fantasy|Sci-Fi|Thriller
Monsters University ,376,104,37,12000,779,760,268488329,2013,235025,cheating|fraternity|monster|singing in a car|university,265,200000000,Adventure|Animation|Comedy|Family|Fantasy
Transformers: Revenge of the Fallen ,366,150,0,894,581,464,402076689,2009,323207,autobot|decepticon|machine|sun|symbol,1439,200000000,Action|Adventure|Sci-Fi
Transformers: Age of Extinction ,378,165,0,974,956,808,245428137,2014,242420,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918,210000000,Action|Adventure|Sci-Fi
Oz the Great and Powerful ,525,130,0,44000,15000,11000,234903076,2013,175409,circus|magic|magician|oz|witch,511,215000000,Adventure|Family|Fantasy
The Amazing Spider-Man 2 ,495,142,464,15000,10000,825,202853933,2014,321227,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067,200000000,Action|Adventure|Fantasy|Sci-Fi
TRON: Legacy ,469,125,364,12000,10000,1000,172051787,2010,264183,arcade|bridge|disappearance|escape|warrior,665,170000000,Action|Adventure|Sci-Fi
Cars 2 ,304,106,487,1000,919,776,191450875,2011,101178,best friend|car race|conspiracy|gadget car|spy,283,200000000,Adventure|Animation|Comedy|Family|Sport
Green Lantern ,436,123,258,16000,368,326,116593191,2011,223393,autopsy|lantern|planet|ring|test pilot,550,200000000,Action|Adventure|Sci-Fi
Toy Story 3 ,453,103,125,15000,1000,721,414984497,2010,544884,college|day care|escape|teddy bear|toy,733,200000000,Adventure|Animation|Comedy|Family|Fantasy
Terminator Salvation ,422,118,368,23000,3000,988,125320003,2009,286095,death row|future|machine|rescue|skynet,974,200000000,Action|Adventure|Sci-Fi
Furious 7 ,424,140,0,26000,23000,14000,350034110,2015,278232,car falling off a cliff|hospital|revenge|star died before release|terrorist,657,190000000,Action|Crime|Thriller
World War Z ,654,123,395,17000,11000,1000,202351611,2013,465019,chaos|disease|infection|pandemic|zombie,995,190000000,Action|Adventure|Horror|Sci-Fi|Thriller
X-Men: Days of Future Past ,539,149,0,34000,22000,20000,233914986,2014,514125,dystopia|super strength|supernatural power|time paradox|time travel,752,200000000,Action|Adventure|Fantasy|Sci-Fi|Thriller
Star Trek Into Darkness ,590,132,14000,19000,981,928,228756232,2013,395573,admiral|captain|manhunt|mission|space,1171,190000000,Action|Adventure|Sci-Fi
Jack the Giant Slayer ,338,114,0,979,557,140,65171860,2013,106416,bean|giant|king|no opening credits|princess,205,195000000,Adventure|Fantasy
The Great Gatsby ,490,143,1000,29000,509,77,144812796,2013,362912,ingratitude|mansion|party|title appears in writing|tragedy,753,105000000,Drama|Romance
Prince of Persia: The Sands of Time ,306,116,179,15000,567,236,90755643,2010,222403,alamut|dagger|king|persia|princess,453,200000000,Action|Adventure|Fantasy|Romance
Pacific Rim ,575,131,0,16000,968,919,101785482,2013,381148,giant monster|kaiju|pilot|portal|robot,1106,190000000,Action|Adventure|Sci-Fi
Transformers: Dark of the Moon ,428,154,0,894,829,581,352358779,2011,326180,autobot|decepticon|job interview|moon|spacecraft,899,195000000,Action|Adventure|Sci-Fi
Indiana Jones and the Kingdom of the Crystal Skull ,470,122,14000,11000,1000,1000,317011114,2008,333847,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054,185000000,Action|Adventure|Fantasy
The Good Dinosaur ,298,93,113,275,150,113,123070338,2015,62836,apatosaurus|asteroid|dinosaur|fear|river,345,,Adventure|Animation|Comedy|Family|Fantasy
Brave ,488,93,56,2000,1000,838,237282182,2012,273556,archery|coming of age|female warrior|princess|rebellious daughter,428,185000000,Adventure|Animation|Comedy|Family|Fantasy
Star Trek Beyond ,322,122,681,998,119,105,130468626,2016,53607,hatred|sequel|space opera|star trek|third part,432,185000000,Action|Adventure|Sci-Fi|Thriller
WALL·E ,421,98,475,1000,729,522,223806889,2008,718837,earth|obesity|plant|robot|soil,1043,180000000,Adventure|Animation|Family|Sci-Fi
Rush Hour 3 ,162,91,420,268,268,173,140080850,2007,121084,ambassador|assassination|chinese|french|triad,221,140000000,Action|Comedy|Crime|Thriller
2012 ,367,158,776,1000,468,310,166112167,2009,283418,ark|catastrophe|geologist|president|writer,1055,200000000,Action|Adventure|Sci-Fi
A Christmas Carol ,240,96,0,18000,14000,10000,137850096,2009,72809,charles dickens|christmas|christmas eve|ghost|scrooge,249,200000000,Animation|Drama|Family|Fantasy
Jupiter Ascending ,384,127,0,17000,15000,13000,47375327,2015,139593,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720,176000000,Action|Adventure|Sci-Fi
The Legend of Tarzan ,248,110,282,11000,10000,103,124051759,2016,42372,africa|capture|jungle|male objectification|tarzan,239,180000000,Action|Adventure|Drama|Romance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",284,150,80,1000,190,82,291709845,2005,286506,hide and seek|lion|magic|professor|snow,1463,180000000,Adventure|Family|Fantasy
X-Men: Apocalypse ,396,144,0,34000,13000,1000,154985087,2016,148379,mutant|superhero|superhero team|x men|year 1983,622,178000000,Action|Adventure|Sci-Fi
The Dark Knight ,645,152,22000,23000,13000,11000,533316061,2008,1676169,based on comic book|dc comics|psychopath|star died before release|urban setting,4667,185000000,Action|Crime|Drama|Thriller
Up ,408,96,0,1000,848,262,292979556,2009,665575,balloon|house|promise|retirement|skeleton,704,175000000,Adventure|Animation|Comedy|Family
Monsters vs. Aliens ,219,94,11,1000,973,459,198332128,2009,114553,alien|alien invasion|alien space craft|giant|giantess,187,175000000,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Iron Man ,486,126,4000,21000,12000,4000,318298180,2008,696338,afghanistan|billionaire|inventor|playboy|u.s. air force,1055,140000000,Action|Adventure|Sci-Fi
Hugo ,682,126,17000,17000,16000,1000,73820094,2011,245333,automaton|mechanical|railway station|steampunk|train,678,170000000,Adventure|Drama|Family|Mystery
Wild Wild West ,85,106,188,10000,4000,582,113745408,1999,129601,buddy movie|general|inventor|steampunk|utah,648,170000000,Action|Comedy|Sci-Fi|Western
The Mummy: Tomb of the Dragon Emperor ,264,112,357,5000,3000,595,102176165,2008,117927,army|china|emperor|mummy|shangri la,501,145000000,Action|Adventure|Fantasy|Horror|Thriller
Suicide Squad ,418,123,452,10000,336,329,161087183,2016,118992,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,971,175000000,Action|Adventure|Comedy|Sci-Fi
Evan Almighty ,186,96,293,87000,11000,7000,100289690,2007,115099,ark|change|congressman|depiction of god|flood,257,175000000,Comedy|Family|Fantasy
Edge of Tomorrow ,585,113,218,10000,854,509,100189501,2014,431620,alien|combat|dying repeatedly|end of the world|time loop,741,178000000,Action|Adventure|Sci-Fi
Waterworld ,91,176,58,711,60,60,88246220,1995,144337,future|sail|sea|smoker|water,309,175000000,Action|Adventure|Sci-Fi|Thriller
G.I. Joe: The Rise of Cobra ,250,118,208,23000,2000,570,150167630,2009,174578,cobra|gi joe|snake|train|warhead,534,175000000,Action|Adventure|Sci-Fi|Thriller
Inside Out ,536,95,0,1000,767,384,356454367,2015,345198,anger|joy|memory|running away|sadness,773,175000000,Adventure|Animation|Comedy|Drama|Family|Fantasy
