Guardians of the Galaxy,Action
Prometheus,Adventure
Split,Horror
Sing,Animation
Suicide Squad,Action
The Great Wall,Action
La La Land,Comedy
Mindhorn,Comedy
The Lost City of Z,Action
Passengers,Adventure
Fantastic Beasts and Where to Find Them,Adventure
Hidden Figures,Biography
Rogue One,Action
Moana,Animation
Colossal,Action
The Secret Life of Pets,Animation
Hacksaw Ridge,Biography
Jason Bourne,Action
Lion,Biography
Arrival,Drama
Gold,Adventure
Manchester by the Sea,Drama
Hounds of Love,Crime
Trolls,Animation
Independence Day: Resurgence,Action
Paris pieds nus,Comedy
Bahubali: The Beginning,Action
Dead Awake,Horror
Bad Moms,Comedy
Assassin's Creed,Action
Why Him?,Comedy
Nocturnal Animals,Drama
X-Men: Apocalypse,Action
Deadpool,Action
Resident Evil: The Final Chapter,Action
Captain America: Civil War,Action
Interstellar,Adventure
Doctor Strange,Action
The Magnificent Seven,Action
5- 25- 77,Comedy
Sausage Party,Animation
Moonlight,Drama
Don't Fuck in the Woods,Horror
The Founder,Biography
Lowriders,Drama
Pirates of the Caribbean: On Stranger Tides,Action
Miss Sloane,Drama
Fallen,Adventure
Star Trek Beyond,Action
The Last Face,Drama
Star Wars: Episode VII - The Force Awakens,Action
Underworld: Blood Wars,Action
Mother's Day,Comedy
John Wick,Action
The Dark Knight,Action
Silence,Adventure
Don't Breathe,Crime
Me Before You,Drama
Their Finest,Comedy
Sully,Biography
Batman v Superman: Dawn of Justice,Action
The Autopsy of Jane Doe,Horror
The Girl on the Train,Crime
Fifty Shades of Grey,Drama
The Prestige,Drama
Kingsman: The Secret Service,Action
Patriots Day,Drama
Mad Max: Fury Road,Action
Wakefield,Drama
Deepwater Horizon,Action
The Promise,Drama
Allied,Action
A Monster Calls,Drama
Collateral Beauty,Drama
Zootopia,Animation
Pirates of the Caribbean: At World's End,Action
The Avengers,Action
Inglourious Basterds,Adventure
Pirates of the Caribbean: Dead Man's Chest,Action
Ghostbusters,Action
Inception,Action
Captain Fantastic,Comedy
The Wolf of Wall Street,Biography
Gone Girl,Crime
Furious Seven,Action
Jurassic World,Action
Live by Night,Crime
Avatar,Action
The Hateful Eight,Crime
The Accountant,Action
Prisoners,Crime
Warcraft,Action
The Help,Drama
War Dogs,Comedy
Avengers: Age of Ultron,Action
The Nice Guys,Action
Kimi no na wa,Animation
The Void,Horror
Personal Shopper,Drama
The Departed,Crime
Legend,Biography
Thor,Action
The Martian,Adventure
Contratiempo,Crime
The Man from U.N.C.L.E.,Action
Hell or High Water,Crime
The Comedian,Comedy
The Legend of Tarzan,Action
All We Had,Drama
Ex Machina,Drama
The Belko Experiment,Action
12 Years a Slave,Biography
The Bad Batch,Romance
300,Action
Harry Potter and the Deathly Hallows: Part 2,Adventure
Office Christmas Party,Comedy
The Neon Demon,Horror
Dangal,Action
10 Cloverfield Lane,Drama
Finding Dory,Animation
Miss Peregrine's Home for Peculiar Children,Adventure
Divergent,Adventure
Mike and Dave Need Wedding Dates,Adventure
Boyka: Undisputed IV,Action
The Dark Knight Rises,Action
The Jungle Book,Adventure
Transformers: Age of Extinction,Action
Nerve,Adventure
Mamma Mia!,Comedy
The Revenant,Adventure
Fences,Drama
Into the Woods,Adventure
The Shallows,Drama
Whiplash,Drama
Furious 6,Action
The Place Beyond the Pines,Crime
No Country for Old Men,Crime
The Great Gatsby,Drama
Shutter Island,Mystery
Brimstone,Mystery
Star Trek,Action
Diary of a Wimpy Kid,Comedy
The Big Short,Biography
Room,Drama
Django Unchained,Drama
Ah-ga-ssi,Drama
The Edge of Seventeen,Comedy
Watchmen,Action
Superbad,Comedy
Inferno,Action
The BFG,Adventure
The Hunger Games,Adventure
White Girl,Drama
Sicario,Action
Twin Peaks: The Missing Pieces,Drama
Aliens vs Predator - Requiem,Action
Pacific Rim,Action
Crazy, Stupid
Scott Pilgrim vs. the World,Action
Hot Fuzz,Action
Mine,Thriller
Free Fire,Action
X-Men: Days of Future Past,Action
Jack Reacher: Never Go Back,Action
Casino Royale,Action
Twilight,Drama
Now You See Me 2,Action
Woman in Gold,Biography
13 Hours,Action
Spectre,Action
Nightcrawler,Crime
Kubo and the Two Strings,Animation
Beyond the Gates,Adventure
Her,Drama
Frozen,Animation
Tomorrowland,Action
Dawn of the Planet of the Apes,Action
Tropic Thunder,Action
The Conjuring 2,Horror
Ant-Man,Action
Bridget Jones's Baby,Comedy
The VVitch: A New-England Folktale,Horror
Cinderella,Drama
Realive,Sci-Fi
Forushande,Drama
Love,Drama
Billy Lynn's Long Halftime Walk,Drama
Crimson Peak,Drama
Drive,Crime
Trainwreck,Comedy
The Light Between Oceans,Drama
Below Her Mouth,Drama
Spotlight,Crime
Morgan,Horror
Warrior,Action
Captain America: The First Avenger,Action
Hacker,Crime
Into the Wild,Adventure
The Imitation Game,Biography
Central Intelligence,Action
Edge of Tomorrow,Action
A Cure for Wellness,Drama
Snowden,Biography
Iron Man,Action
Allegiant,Action
X: First Class,Action
Raw (II),Drama
Paterson,Comedy
Bridesmaids,Comedy
The Girl with All the Gifts,Drama
San Andreas,Action
Spring Breakers,Drama
Transformers,Action
Old Boy,Action
Thor: The Dark World,Action
Gods of Egypt,Action
Captain America: The Winter Soldier,Action
Monster Trucks,Action
A Dark Song,Drama
Kick-Ass,Action
Hardcore Henry,Action
Cars,Animation
It Follows,Horror
The Girl with the Dragon Tattoo,Crime
We're the Millers,Comedy
American Honey,Drama
The Lobster,Comedy
Predators,Action
Maleficent,Action
Rupture,Horror
Pan's Labyrinth,Drama
A Kind of Murder,Crime
Apocalypto,Action
Mission: Impossible - Rogue Nation,Action
The Huntsman: Winter's War,Action
The Perks of Being a Wallflower,Drama
Jackie,Biography
The Disappointments Room,Drama
The Grand Budapest Hotel,Adventure
The Host,Action
Fury,Action
Inside Out,Animation
Rock Dog,Animation
Terminator Genisys,Action
Percy Jackson & the Olympians: The Lightning Thief,Adventure
Les Misérables,Drama
Children of Men,Drama
20th Century Women,Comedy
Spy,Action
The Intouchables,Biography
Bonjour Anne,Comedy
Kynodontas,Drama
Straight Outta Compton,Biography
The Amazing Spider-Man 2,Action
The Conjuring,Horror
The Hangover,Comedy
Battleship,Action
Rise of the Planet of the Apes,Action
Lights Out,Horror
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama
Birdman or (The Unexpected Virtue of Ignorance),Comedy
Black Swan,Drama
Dear White People,Comedy
Nymphomaniac: Vol. I,Drama
Teenage Mutant Ninja Turtles: Out of the Shadows,Action
Knock Knock,Drama
Dirty Grandpa,Comedy
Cloud Atlas,Drama
X-Men Origins: Wolverine,Action
Satanic,Horror
Skyfall,Action
The Hobbit: An Unexpected Journey,Adventure
21 Jump Street,Action
Sing Street,Comedy
Ballerina,Animation
Oblivion,Action
22 Jump Street,Action
Zodiac,Crime
Everybody Wants Some!!,Comedy
Iron Man Three,Action
Now You See Me,Crime
Sherlock Holmes,Action
Death Proof,Thriller
The Danish Girl,Biography
Hercules,Action
Sucker Punch,Action
Keeping Up with the Joneses,Action
Jupiter Ascending,Action
Masterminds,Action
Iris,Thriller
Busanhaeng,Action
Pitch Perfect,Comedy
Neighbors 2: Sorority Rising,Comedy
The Exception,Drama
Man of Steel,Action
The Choice,Drama
Ice Age: Collision Course,Animation
The Devil Wears Prada,Comedy
The Infiltrator,Biography
There Will Be Blood,Drama
The Equalizer,Action
Lone Survivor,Action
The Cabin in the Woods,Horror
The House Bunny,Comedy
She's Out of My League,Comedy
Inherent Vice,Comedy
Alice Through the Looking Glass,Adventure
Vincent N Roxxy,Crime
The Fast and the Furious: Tokyo Drift,Action
How to Be Single,Comedy
The Blind Side,Biography
La vie d'Adèle,Drama
The Babadook,Drama
The Hobbit: The Battle of the Five Armies,Adventure
Harry Potter and the Order of the Phoenix,Adventure
Snowpiercer,Action
The 5th Wave,Action
The Stakelander,Action
The Visit,Comedy
Fast Five,Action
Step Up,Crime
Lovesong,Drama
RocknRolla,Action
In Time,Action
The Social Network,Biography
The Last Witch Hunter,Action
Victor Frankenstein,Drama
A Street Cat Named Bob,Biography
Green Room,Crime
Blackhat,Crime
Storks,Animation
American Sniper,Action
Dallas Buyers Club,Biography
Lincoln,Biography
Rush,Action
Before I Wake,Drama
Silver Linings Playbook,Comedy
Tracktown,Drama
The Fault in Our Stars,Drama
Blended,Comedy
Fast & Furious,Action
Looper,Action
White House Down,Action
Pete's Dragon,Adventure
Spider-Man 3,Action
The Three Musketeers,Action
Stardust,Adventure
American Hustle,Crime
Jennifer's Body,Comedy
Midnight in Paris,Comedy
Lady Macbeth,Drama
Joy,Drama
The Dressmaker,Comedy
Café Society,Comedy
Insurgent,Adventure
Seventh Son,Action
Demain tout commence,Comedy
The Theory of Everything,Biography
This Is the End,Comedy
About Time,Comedy
Step Brothers,Comedy
Clown,Horror
Star Trek Into Darkness,Action
Zombieland,Adventure
Hail, Caesar!
Slumdog Millionaire,Drama
The Twilight Saga: Breaking Dawn - Part 2,Adventure
American Wrestler: The Wizard,Drama
The Amazing Spider-Man,Action
Ben-Hur,Action
Sleight,Action
The Maze Runner,Action
Criminal,Action
Wanted,Action
Florence Foster Jenkins,Biography
Collide,Action
Black Mass,Biography
Creed,Drama
Swiss Army Man,Adventure
The Expendables 3,Action
What We Do in the Shadows,Comedy
Southpaw,Drama
Hush,Horror
Bridge of Spies,Drama
The Lego Movie,Animation
Everest,Action
Pixels,Action
Robin Hood,Action
The Wolverine,Action
John Carter,Action
Keanu,Action
The Gunman,Action
Steve Jobs,Biography
Whisky Galore,Comedy
Grown Ups 2,Comedy
The Age of Adaline,Drama
The Incredible Hulk,Action
Couples Retreat,Comedy
Absolutely Anything,Comedy
Magic Mike,Comedy
Minions,Animation
The Black Room,Horror
Bronson,Action
Despicable Me,Animation
The Best of Me,Drama
The Invitation,Drama
Zero Dark Thirty,Drama
Tangled,Animation
The Hunger Games: Mockingjay - Part 2,Action
Vacation,Adventure
Taken,Action
Pitch Perfect 2,Comedy
Monsters University,Animation
Elle,Crime
Mechanic: Resurrection,Action
Tusk,Comedy
The Headhunter's Calling,Drama
Atonement,Drama
Harry Potter and the Deathly Hallows: Part 1,Adventure
Shame,Drama
Hanna,Action
The Babysitters,Drama
Pride and Prejudice and Zombies,Action
300: Rise of an Empire,Action
London Has Fallen,Action
The Curious Case of Benjamin Button,Drama
Sin City: A Dame to Kill For,Action
The Bourne Ultimatum,Action
Srpski film,Horror
The Purge: Election Year,Action
3 Idiots,Comedy
Zoolander 2,Comedy
World War Z,Action
Mission: Impossible - Ghost Protocol,Action
Let Me Make You a Martyr,Action
Filth,Comedy
The Longest Ride,Drama
The imposible,Drama
Kick-Ass 2,Action
Folk Hero & Funny Guy,Comedy
Oz the Great and Powerful,Adventure
Brooklyn,Drama
Coraline,Animation
Blue Valentine,Drama
The Thinning,Thriller
Silent Hill,Adventure
Dredd,Action
Hunt for the Wilderpeople,Adventure
Big Hero 6,Animation
Carrie,Drama
Iron Man 2,Action
Demolition,Comedy
Pandorum,Action
Olympus Has Fallen,Action
I Am Number Four,Action
Jagten,Drama
The Proposal,Comedy
Get Hard,Comedy
Just Go with It,Comedy
Revolutionary Road,Drama
The Town,Crime
The Boy,Horror
Denial,Biography
Predestination,Drama
Goosebumps,Adventure
Sherlock Holmes: A Game of Shadows,Action
Salt,Action
Enemy,Mystery
District 9,Action
The Other Guys,Action
American Gangster,Biography
Marie Antoinette,Biography
2012,Action
Harry Potter and the Half-Blood Prince,Adventure
Argo,Biography
Eddie the Eagle,Biography
The Lives of Others,Drama
Pet,Horror
Paint It Black,Drama
Macbeth,Drama
Forgetting Sarah Marshall,Comedy
The Giver,Drama
Triple 9,Action
Perfetti sconosciuti,Comedy
Angry Birds,Animation
Moonrise Kingdom,Adventure
Hairspray,Comedy
Safe Haven,Drama
Focus,Comedy
Ratatouille,Animation
Stake Land,Drama
The Book of Eli,Action
Cloverfield,Action
Point Break,Action
Under the Skin,Drama
I Am Legend,Drama
Men in Black 3,Action
Super 8,Mystery
Law Abiding Citizen,Crime
Up,Animation
Maze Runner: The Scorch Trials,Action
Carol,Drama
Imperium,Crime
Youth,Comedy
Mr. Nobody,Drama
City of Tiny Lights,Crime
Savages,Crime
(500) Days of Summer,Comedy
Movie 43,Comedy
Gravity,Drama
The Boy in the Striped Pyjamas,Drama
Shooter,Action
The Happening,Sci-Fi
Bone Tomahawk,Adventure
Magic Mike XXL,Comedy
Easy A,Comedy
Exodus: Gods and Kings,Action
Chappie,Action
The Hobbit: The Desolation of Smaug,Adventure
Half of a Yellow Sun,Drama
Anthropoid,Biography
