title,rank,description,revenue,year,runtime
Guardians of the Galaxy,1,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,333.13,2014,121
Prometheus,2,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",126.46,2012,124
Split,3,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,138.12,2016,117
Sing,4,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",270.32,2016,108
Suicide Squad,5,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,325.02,2016,123
The Great Wall,6,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,45.13,2016,103
La La Land,7,A jazz pianist falls for an aspiring actress in Los Angeles.,151.06,2016,128
Mindhorn,8,"A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.",,2016,89
The Lost City of Z,9,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",8.01,2016,141
Passengers,10,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",100.01,2016,116
Fantastic Beasts and Where to Find Them,11,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,234.02,2016,133
Hidden Figures,12,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,169.27,2016,127
Rogue One,13,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",532.17,2016,133
Moana,14,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",248.75,2016,107
Colossal,15,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",2.87,2016,109
The Secret Life of Pets,16,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",368.31,2016,87
Hacksaw Ridge,17,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",67.12,2016,139
Jason Bourne,18,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,162.16,2016,123
Lion,19,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",51.69,2016,118
Arrival,20,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",100.5,2016,116
Gold,21,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",7.22,2016,120
Manchester by the Sea,22,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,47.7,2016,137
Hounds of Love,23,"A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",,2016,108
Trolls,24,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",153.69,2016,92
Independence Day: Resurgence,25,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",103.14,2016,120
Paris pieds nus,26,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",,2016,83
Bahubali: The Beginning,27,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",6.5,2015,159
Dead Awake,28,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,0.01,2016,99
Bad Moms,29,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",113.08,2016,100
Assassin's Creed,30,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",54.65,2016,115
Why Him?,31,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,60.31,2016,111
Nocturnal Animals,32,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",10.64,2016,116
X-Men: Apocalypse,33,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",155.33,2016,144
Deadpool,34,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,363.02,2016,108
Resident Evil: The Final Chapter,35,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",26.84,2016,107
Captain America: Civil War,36,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,408.08,2016,147
Interstellar,37,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,187.99,2014,169
Doctor Strange,38,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",232.6,2016,115
The Magnificent Seven,39,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,93.38,2016,132
5/25/1977,40,"Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",,2007,113
Sausage Party,41,A sausage strives to discover the truth about his existence.,97.66,2016,89
Moonlight,42,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",27.85,2016,111
Don't Fuck in the Woods,43,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan.",,2016,73
The Founder,44,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.",12.79,2016,115
Lowriders,45,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",4.21,2016,99
Pirates of the Caribbean: On Stranger Tides,46,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",241.06,2011,136
Miss Sloane,47,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",3.44,2016,132
Fallen,48,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.",,2016,91
Star Trek Beyond,49,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",158.8,2016,122
The Last Face,50,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »",,2016,130
Star Wars: Episode VII - The Force Awakens,51,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",936.63,2015,136
Underworld: Blood Wars,52,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",30.35,2016,91
Mother's Day,53,Three generations come together in the week leading up to Mother's Day.,32.46,2016,118
John Wick,54,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,43,2014,101
