t_const,season_num,episode_num
tt0041038,1,9
tt0989125,1,17
tt0989125,NULL,NULL
tt0040051,3,42
tt0989125,2,16
tt0989125,2,8
tt0989125,3,3
tt0959862,1,6
tt0989125,3,46
tt0989125,4,11
tt0044284,2,3
tt0989125,4,5
tt0341798,NULL,NULL
tt0046643,1,4
tt0989125,5,20
tt0914702,3,36
tt0047745,1,15
tt0046637,2,8
tt0989125,6,5
tt0046587,2,20
tt0047768,1,6
tt0989125,6,11
tt0047702,1,6
tt0047702,1,3
tt0047768,1,10
tt0989125,6,42
tt0046593,1,20
tt0914702,1,30
tt0048893,1,2
tt0050013,1,4
tt0048893,1,20
tt0046593,4,1
tt0914702,3,39
tt4280482,1,1
tt0161126,2,11
tt0046637,3,6
tt0048893,1,16
tt0050013,1,6
tt0048893,3,2
tt0048893,2,15
tt0161126,3,9
tt0989125,9,45
tt0441950,4,2
tt0793361,1,2
tt0793361,1,5
tt0793361,1,4
tt0793361,1,3
tt0793361,1,1
tt0793361,1,6
tt1646046,1,10
tt0914702,4,18
tt0050013,2,9
tt4280486,1,8
tt0259792,NULL,NULL
tt0050013,2,6
tt0914702,3,28
tt4280486,1,1
tt0793361,2,3
tt0793361,2,2
tt0793361,2,1
tt1845727,1,1
tt0052511,1,3
tt0259792,NULL,NULL
tt0048893,4,14
tt0190181,1,5
tt0190181,1,1
tt0341798,4,17
tt0048893,4,8
tt0348926,1,5
tt0051312,2,1
tt0259792,NULL,NULL
tt0190181,1,4
tt0259792,NULL,NULL
tt0259792,NULL,NULL
tt0052511,1,33
tt0793361,3,1
tt0793361,3,3
tt0793361,3,2
tt0190181,2,4
tt0190181,2,8
tt0190181,2,3
tt0914702,4,27
tt0190181,3,6
tt0046593,8,2
tt0320048,1,10
tt0190181,2,5
tt0161126,4,27
tt0190181,2,2
tt0161126,4,47
tt0259792,NULL,NULL
tt0190181,1,6
tt0914702,6,26
tt0259792,NULL,NULL
tt0990935,2,20
tt0161126,4,43
tt0914702,7,8
tt0161126,4,36
tt0793361,4,2
tt0793361,4,1
tt0793361,5,2
tt0054532,1,28
tt0046593,10,17
tt0259792,NULL,NULL
tt0046593,9,2
tt0054513,2,1
tt0046593,9,1
tt0259792,NULL,NULL
tt0046593,9,10
tt0055685,1,18
tt0190181,3,1
tt0055685,1,4
tt0259792,NULL,NULL
tt0046593,8,21
tt0990935,4,21
tt2199914,1,7
tt0046593,9,6
tt0914702,4,49
tt0190181,3,5
tt0793361,5,1
tt0403808,2,5
tt0055663,NULL,NULL
tt0190181,3,2
tt0190181,4,2
tt0190181,5,2
tt0259792,NULL,NULL
tt0190181,4,7
tt0046593,10,1
tt0046593,9,16
tt0046593,9,15
tt0969924,3,21
tt0190181,4,5
tt0190181,4,6
tt0793361,6,1
tt0242203,3,1
tt0046593,10,5
tt0259792,NULL,NULL
tt0190181,5,8
tt0046593,10,12
tt0259792,NULL,NULL
tt1384817,1,7
tt1314953,1,11
tt0969924,4,2
tt0497975,1,1
tt0259792,NULL,NULL
tt0190181,5,9
tt0056754,1,23
tt0217931,NULL,NULL
tt0793361,7,1
tt0793361,7,2
tt0046593,11,7
tt0190181,5,7
tt0058853,1,34
tt0259792,NULL,NULL
tt0969640,1,2
tt0212699,1,7
tt0212698,3,4
tt0058853,1,25
tt0405611,1,3
tt0046593,12,19
tt0058853,1,41
tt0969640,1,1
tt0058853,1,18
tt0058853,1,72
tt0212698,3,10
tt0969640,1,11
tt0058853,1,17
tt0058836,1,2
tt0969640,1,8
tt0190181,6,4
tt0212698,3,1
tt0212699,1,12
tt0058853,1,29
tt0058836,1,8
tt0058853,1,35
tt0212699,1,2
tt0405611,1,1
tt0165593,1,3
tt0969640,1,5
tt0165593,1,7
tt0969924,4,14
tt0212698,3,5
tt0212699,1,5
tt0212699,1,10
tt0212698,3,11
tt0058836,1,1
tt0212698,3,12
tt0969640,1,7
tt0212699,1,1
tt0165593,1,2
tt0212699,1,13
tt0058853,1,69
tt0212698,3,3
tt0058853,1,33
tt0212698,3,8
tt0793361,7,3
tt0058853,1,42
tt0060028,1,0
tt0190181,6,3
tt0058836,1,5
tt0058853,1,40
tt0058853,1,38
tt0212698,2,15
tt1157603,1,1
tt0058853,1,37
tt0058853,1,43
tt0212698,4,7
tt0058853,1,62
tt0058853,1,57
tt0058853,1,45
tt0058853,1,48
tt0233023,1,7
tt0212699,1,29
tt0212699,1,20
tt0212698,3,17
tt0058853,1,60
tt0165593,2,3
tt0233023,1,2
tt0165593,2,2
tt0165593,1,8
tt0212698,3,15
tt1711895,1,13
tt0212699,1,33
tt0212699,1,27
tt0212699,1,15
tt0058836,2,7
tt0212698,4,8
tt0058836,2,9
tt0212698,3,28
tt0212698,3,16
tt0212699,1,16
tt0058836,2,2
tt0212698,3,36
tt0165593,1,4
tt0058853,1,71
tt0058853,1,68
tt0815352,NULL,NULL
tt0861682,1,5
tt0058853,1,76
tt0058836,2,1
tt0058853,1,53
tt0190181,5,11
tt0165593,2,4
tt0212698,3,21
tt0058853,1,77
tt0046593,13,16
tt0861682,1,11
tt0212699,2,9
tt0212698,3,34
tt0212699,2,6
tt0212698,3,27
tt0212698,3,23
tt0165593,4,3
tt0058853,1,49
tt0058853,1,58
tt0793361,7,4
tt0060028,1,3
tt0861682,1,12
tt0058853,1,75
tt0058853,1,63
tt0058836,2,10
tt0212699,2,12
tt0212698,3,26
tt1157603,1,2
tt0212698,3,31
tt0058853,1,54
tt0058836,2,11
tt0058853,1,70
tt0058853,1,50
