tconst,numVotes,averageRating
tt0000001,1294,5.8
tt0000002,148,6.5
tt0000003,865,6.6
tt0000004,91,6.5
tt0000005,1547,6.2
tt0000006,72,5.7
tt0000007,521,5.5
tt0000008,1372,5.6
tt0000009,58,5.4
tt0000010,4614,6.9
tt0000011,171,5.4
tt0000012,7499,7.4
tt0000013,1158,5.7
tt0000014,3307,7.2
tt0000015,570,6.2
tt0000016,844,5.9
tt0000017,161,4.9
tt0000018,364,5.5
tt0000019,12,6.7
tt0000020,198,5
tt0000022,650,5.1
tt0000023,801,5.6
tt0000024,16,5.8
tt0000025,12,4.8
tt0000026,1022,5.7
tt0000027,672,5.6
tt0000028,613,5.1
tt0000029,2174,5.9
tt0000030,526,5.3
tt0000031,602,5.6
tt0000032,255,5.3
tt0000033,639,5.6
tt0000034,84,5.8
tt0000035,39,5.9
tt0000036,379,4.5
tt0000037,28,4.8
tt0000038,112,4.4
tt0000039,10,4.7
tt0000040,24,4.4
tt0000041,1052,6.7
tt0000042,14,4.7
tt0000043,7,4.4
tt0000044,15,5.1
tt0000045,11,4.7
tt0000046,11,4.5
tt0000047,10,3.7
tt0000048,82,5.5
tt0000049,17,6.1
tt0000050,10,4.5
tt0000051,7,4
tt0000052,25,4.5
tt0000054,12,5.8
tt0000055,9,4.2
tt0000056,6,3.5
tt0000057,9,4.8
tt0000058,9,4.1
tt0000059,7,3.9
tt0000060,55,8.1
tt0000061,10,4.5
tt0000062,119,6.6
tt0000063,6,3.8
tt0000064,7,3.7
tt0000065,7,4
tt0000066,7,4
tt0000067,28,6.1
tt0000068,7,4.3
tt0000069,232,4.8
tt0000070,1729,6.4
tt0000071,10,3.9
tt0000072,8,4.5
tt0000073,6,4.2
tt0000074,10,4.5
tt0000075,1019,6.4
tt0000076,346,4.5
tt0000077,11,5.2
tt0000078,27,4.6
tt0000079,11,4.5
tt0000080,8,4.4
tt0000081,8,4.4
tt0000082,17,5.6
tt0000083,11,5.2
tt0000084,8,4.8
tt0000085,11,5.2
tt0000086,9,4.3
tt0000087,12,5.2
tt0000088,9,5.2
tt0000089,601,6.4
tt0000090,8,4.2
tt0000091,1825,6.8
tt0000092,6,5.3
tt0000093,47,5.3
tt0000094,8,4.5
tt0000095,12,5.1
tt0000096,6,5.2
tt0000097,12,5.4
tt0000098,12,6.1
tt0000099,9,5.3
tt0000100,22,5.3
tt0000101,7,5.1
tt0000102,7,5.4
tt0000103,7,6.7
tt0000104,306,5.6
tt0000105,7,6.3
tt0000106,5,5.4
tt0000107,6,6.8
tt0000108,348,4.5
tt0000109,349,4.6
tt0000110,351,4.4
tt0000111,358,4.5
tt0000112,346,4.6
tt0000113,357,4.4
tt0000114,8,6.4
tt0000115,7,6.6
tt0000116,7,6.7
tt0000117,77,5.7
tt0000118,8,6.6
tt0000119,8,6.4
tt0000120,11,6.5
tt0000121,26,4.6
tt0000122,7,6.6
tt0000123,39,6.2
tt0000124,7,6.7
tt0000126,8,6.9
tt0000127,7,5
tt0000128,15,6.3
tt0000129,23,7.6
tt0000130,6,6.5
tt0000131,681,5.9
tt0000132,611,5.1
tt0000133,13,7.8
tt0000135,44,7.3
tt0000136,197,6.2
tt0000138,510,6.5
tt0000139,9,6.2
tt0000140,162,5.3
tt0000141,36,5.5
tt0000142,7,5.6
tt0000143,142,5.1
tt0000144,153,5.2
tt0000146,6,6
tt0000147,230,5.2
tt0000150,66,5.6
